instrument_id,signal_date,session_date,arm,paid_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
GDX,2025-12-30,2025-12-31,C,0.582920431361119207228213349,85.78500029146021568055960359,79.90202100909272859793551829,2026-01-06,91.66271281257669284058884926,target,169,0.9991047459121952882169091090,0.068517
GDX,2025-12-30,2025-12-31,X,0,85.770000,79.88702071763251291737591470,2026-01-06,91.64771338295453864900830684,target,169,0.9991048924090670470699522964,0.068529
MUX,2025-12-31,2026-01-02,O,42.03888596952180767209668944,19.17025223331581713084603258,17.07073980797727802484178336,2026-01-12,21.24673296979820641959327012,target,476,0.9890299821148064712170933505,0.108318
MUX,2025-12-31,2026-01-02,A,0,19.090000,16.99048757466146089399575078,2026-01-12,21.16656763657260674097338376,target,476,0.9890713727201530625275092489,0.108778
MUX,2025-12-31,2026-01-02,C,5.36193029490616621983914209,18.65799892761394101876675603,16.55848650227540191276250681,2026-01-05,20.73503435094603455885354883,target,476,0.9892941800509605332757837135,0.111321
MUX,2025-12-31,2026-01-02,X,0,18.680000,16.58048757466146089399575078,2026-01-05,20.75701159975614761807138051,target,476,0.9892828328564126941286472500,0.111189
OUNZ,2026-01-02,2026-01-05,O,2.351834430856067732831608655,42.57000940733772342427093133,41.24297214332239666894901060,2026-01-12,43.89191911070927573149337853,target,753,0.9961360839044869302156286925,0.031053
OUNZ,2026-01-02,2026-01-05,A,0,42.560000,41.23296273598467324467807927,2026-01-12,43.88191087255825219314982379,target,753,0.9961369649548775938675069912,0.03106
OUNZ,2026-01-02,2026-01-05,C,1.169453865045023973804233423,42.76500058472693252251198689,41.43796332071160576719006616,2026-01-12,44.08688751141615925922885752,target,753,0.9961189203455250264571311409,0.03091
OUNZ,2026-01-02,2026-01-05,X,0,42.790000,41.46296273598467324467807927,2026-01-12,44.11188400653792746473024663,target,753,0.9961167198411545340697885586,0.030892
GDXJ,2026-01-09,2026-01-12,O,9.57166786312514955731036133,125.3198372816463268724575257,116.4606682348344232046087179,2026-01-20,134.1527204282254095101491603,target,112,0.9970329158306014738126239381,0.070483
GDXJ,2026-01-09,2026-01-12,A,0,125.200000,116.3408309531880963321511922,2026-01-20,134.0329066229105574499927860,target,112,0.9970355657779442509084685311,0.07055
GDXJ,2026-01-09,2026-01-12,C,0.788581342165444365586310228,126.8300007885813421654443656,117.9708317417694384975955578,2026-01-20,135.6625880915082414752958194,target,112,0.9969995217672734022785343330,0.069641
GDXJ,2026-01-09,2026-01-12,X,0,126.300000,117.4408309531880963321511922,2026-01-20,135.1326911310012991339641060,target,112,0.9970112416107317668192352691,0.069934
BPOP,2026-01-15,2026-01-16,O,37.08281829419035846724351050,129.5185166872682323856613103,124.2475867278574236769117370,2026-01-23,123.9620268502934959765129293,stop,189,-1.054176374902133578850033324,-0.042901
BPOP,2026-01-15,2026-01-16,A,0,128.840000,123.5690700405891912912504267,2026-01-23,123.2850696069327399537028526,stop,189,-1.053880517450130805607832023,-0.043115
BPOP,2026-01-15,2026-01-16,C,9.75533616888437975572638233,128.2950341436765910953291450,123.0241041842657823865795717,2026-01-23,122.7413562528695889714103849,stop,189,-1.053642892918994381878399589,-0.043288
BPOP,2026-01-15,2026-01-16,X,0,128.090000,122.8190700405891912912504267,2026-01-23,122.5367933418865789159559787,stop,189,-1.053553490726741818752360118,-0.043354
CIEN,2026-01-15,2026-01-16,O,40.52684903748733535967578521,248.0913779128672745694022291,218.5340264323217609228177672,2026-02-03,277.2304815720808008711454115,target,33,0.9858496177640518379007622970,0.117453
CIEN,2026-01-15,2026-01-16,A,0,247.090000,217.5326485194544863534155381,2026-02-03,276.2306121268780523647294165,target,33,0.9859006530425516361020778373,0.117935
CIEN,2026-01-15,2026-01-16,C,7.209211312282436301468619335,242.8549531401264701641640405,213.2976016595809565175795786,2026-02-03,272.0019449076614446282308860,target,33,0.9861164924306348729836849019,0.120018
CIEN,2026-01-15,2026-01-16,X,0,243.420000,213.8626485194544863534155381,2026-02-03,272.5661405854726293535739731,target,33,0.9860876947874189253758680248,0.119736
SPHR,2026-01-26,2026-01-27,O,49.20435510887772194304857622,96.49246021775544388609715247,88.53048559972585008568503302,2026-02-05,88.22014486121375716695218641,stop,125,-1.038977860819769246807620882,-0.08573
SPHR,2026-01-26,2026-01-27,A,0,96.020000,88.05802538197040619958788055,2026-02-05,87.74934083738860233753731873,stop,125,-1.038769847856937304658847304,-0.086135
SPHR,2026-01-26,2026-01-27,C,10.85215234354813704718102424,96.63475582657227016691643839,88.67278120854267636650431894,2026-02-05,88.36194165740092157570456017,stop,125,-1.039040510181716762882231752,-0.085609
SPHR,2026-01-26,2026-01-27,X,0,96.370000,88.40802538197040619958788055,2026-02-05,88.09811392376959956455557855,stop,125,-1.038923944507311506175326545,-0.085835
ESGE,2026-01-30,2026-02-02,O,1.060108131029364995229513410,47.22500583059472066150747375,46.02544445235435329175310016,2026-02-09,48.41945859324179389812214253,target,833,0.9957412636935777771470959743,0.025293
ESGE,2026-01-30,2026-02-02,A,0,47.230000,46.03043862175963263024562641,2026-02-09,48.42445223578037788063423915,target,833,0.9957408244774568573160092730,0.02529
ESGE,2026-01-30,2026-02-02,C,1.047668936616029334730225249,47.73500052383446830801466739,46.53543914559410093826029380,2026-02-10,48.92939948389759389744645747,target,833,0.9956964118127790055028637251,0.025021
ESGE,2026-01-30,2026-02-02,X,0,47.650000,46.45043862175963263024562641,2026-02-10,48.84440792730902014247620560,target,833,0.9957038872500990258154959838,0.025066
CLS,2026-02-04,2026-02-05,O,36.23188405797101449275362319,278.6158333333333333333333332,230.3941267842356636930200035,2026-03-06,249.2405294002647388249669076,time,20,-0.6091718032243358820050058585,-0.105433
CLS,2026-02-04,2026-02-05,A,0,277.000000,228.7782934509023303596866703,2026-03-06,249.2405294002647388249669076,time,20,-0.5756633803797783618694768552,-0.100215
